metric,candidate_id,method,requested_ratio,actual_deletion_percent,realized_compression_ratio,target_marker,mean_score,mean_difference_vs_uncompressed,paired_difference_ci95_low,paired_difference_ci95_high
outcome_correctness,legal_llmlingua2-r1p1,legal_llmlingua2,1.1,10.5026718888105,1.1173517926229286,o,0.6191254752851711,-0.003460076045627373,-0.039875994501527755,0.03352459528627544
outcome_correctness,legal_llmlingua2-r1p25,legal_llmlingua2,1.25,21.600538432221605,1.275518964037111,s,0.6133079847908746,-0.009277566539923952,-0.04097015136562854,0.022830445854336863
outcome_correctness,legal_llmlingua2-r2p0,legal_llmlingua2,2.0,51.18917297135119,2.0487257866232516,^,0.6006653992395437,-0.021920152091254756,-0.059938579261971096,0.014770704640436907
outcome_correctness,xprovence_six_probe_atoms-r1p1,xprovence_six_probe_atoms,1.1,16.34595892021634,1.195399513391429,o,0.6178326996197719,-0.004752851711026617,-0.038450311231444725,0.028344632279942432
outcome_correctness,xprovence_six_probe_atoms-r1p25,xprovence_six_probe_atoms,1.25,26.081527071626077,1.3528418004102811,s,0.610893536121673,-0.011692015209125476,-0.047789033282308276,0.023711004887866514
outcome_correctness,xprovence_six_probe_atoms-r2p0,xprovence_six_probe_atoms,2.0,54.24866811005424,2.1857287180305205,^,0.5804942965779467,-0.04209125475285171,-0.08507221213311081,0.0006043374417644448
outcome_correctness,multi_probe_bge-r1p1,multi_probe_bge,1.1,17.59148887861759,1.2134668936404696,o,0.5906083650190115,-0.03197718631178707,-0.06701519393608305,0.0036490628660679402
outcome_correctness,multi_probe_bge-r1p25,multi_probe_bge,1.25,26.79673372742679,1.3660592633619495,s,0.6128326996197719,-0.009752851711026612,-0.04767220650977818,0.02808161271736854
outcome_correctness,multi_probe_bge-r2p0,multi_probe_bge,2.0,54.7011457902547,2.2075613554588904,^,0.5986501901140684,-0.023935361216730042,-0.06436779629282906,0.014567721495186509
outcome_correctness,german_legal_selector_v2-r1p1,german_legal_selector_v2,1.1,17.798266313117793,1.216519354456852,o,0.6151330798479088,-0.007452471482889736,-0.03959903350515463,0.02496446699647601
outcome_correctness,german_legal_selector_v2-r1p25,german_legal_selector_v2,1.25,27.053786459727057,1.3708730741012474,s,0.6191444866920153,-0.003441064638783271,-0.04368002755905512,0.03569486140619594
outcome_correctness,german_legal_selector_v2-r2p0,german_legal_selector_v2,2.0,54.96468565775496,2.220479671576218,^,0.6037832699619772,-0.018802281368821294,-0.05864423227544722,0.02041050551650752
outcome_correctness,dac_native_tokens-r1p1,dac_native_tokens,1.1,3.9206623365039217,1.0408065087858482,o,0.6037452471482889,-0.01884030418250951,-0.052970221280602636,0.015294107495592686
outcome_correctness,dac_native_tokens-r1p25,dac_native_tokens,1.25,10.987585245010989,1.1234387953102367,s,0.6191254752851711,-0.0034600760456273785,-0.04354550282053067,0.03515220934444041
outcome_correctness,dac_native_tokens-r2p0,dac_native_tokens,2.0,39.599905936539606,1.6556265606959701,^,0.5559315589353613,-0.06665399239543726,-0.10580088964916796,-0.028282521944537647
legal_reasoning_correctness,legal_llmlingua2-r1p1,legal_llmlingua2,1.1,10.5026718888105,1.1173517926229286,o,0.5443726235741444,-0.005779467680608368,-0.03854959382844893,0.025872730477405473
legal_reasoning_correctness,legal_llmlingua2-r1p25,legal_llmlingua2,1.25,21.600538432221605,1.275518964037111,s,0.5320342205323194,-0.01811787072243346,-0.048077403846153846,0.01044814362923529
legal_reasoning_correctness,legal_llmlingua2-r2p0,legal_llmlingua2,2.0,51.18917297135119,2.0487257866232516,^,0.4997528517110266,-0.05039923954372623,-0.08600509409160967,-0.015361350574712657
legal_reasoning_correctness,xprovence_six_probe_atoms-r1p1,xprovence_six_probe_atoms,1.1,16.34595892021634,1.195399513391429,o,0.5495627376425856,-0.0005893536121673047,-0.03415423733014077,0.03202896605878767
legal_reasoning_correctness,xprovence_six_probe_atoms-r1p25,xprovence_six_probe_atoms,1.25,26.081527071626077,1.3528418004102811,s,0.5105513307984791,-0.03960076045627377,-0.07288287476280834,-0.006882976190476213
legal_reasoning_correctness,xprovence_six_probe_atoms-r2p0,xprovence_six_probe_atoms,2.0,54.24866811005424,2.1857287180305205,^,0.4729467680608365,-0.07720532319391635,-0.11702044526143791,-0.03711734535525226
legal_reasoning_correctness,multi_probe_bge-r1p1,multi_probe_bge,1.1,17.59148887861759,1.2134668936404696,o,0.5087262357414448,-0.041425855513307984,-0.07506370244022373,-0.008955764920145699
legal_reasoning_correctness,multi_probe_bge-r1p25,multi_probe_bge,1.25,26.79673372742679,1.3660592633619495,s,0.5276235741444867,-0.022528517110266162,-0.05775382601203286,0.012077489901762077
legal_reasoning_correctness,multi_probe_bge-r2p0,multi_probe_bge,2.0,54.7011457902547,2.2075613554588904,^,0.49152091254752855,-0.05863117870722433,-0.0961611461832503,-0.022150608473030797
legal_reasoning_correctness,german_legal_selector_v2-r1p1,german_legal_selector_v2,1.1,17.798266313117793,1.216519354456852,o,0.5376425855513308,-0.01250950570342206,-0.045996588708068706,0.02067576615500214
legal_reasoning_correctness,german_legal_selector_v2-r1p25,german_legal_selector_v2,1.25,27.053786459727057,1.3708730741012474,s,0.5309885931558935,-0.01916349809885931,-0.05432602327391201,0.01500046992481202
legal_reasoning_correctness,german_legal_selector_v2-r2p0,german_legal_selector_v2,2.0,54.96468565775496,2.220479671576218,^,0.5123574144486692,-0.03779467680608365,-0.07591477635728461,3.3381868258872662e-18
legal_reasoning_correctness,dac_native_tokens-r1p1,dac_native_tokens,1.1,3.9206623365039217,1.0408065087858482,o,0.5302851711026616,-0.019866920152091253,-0.05204615316412755,0.010957462957775265
legal_reasoning_correctness,dac_native_tokens-r1p25,dac_native_tokens,1.25,10.987585245010989,1.1234387953102367,s,0.5105133079847908,-0.03963878326996198,-0.07538686454311455,-0.005185780303208924
legal_reasoning_correctness,dac_native_tokens-r2p0,dac_native_tokens,2.0,39.599905936539606,1.6556265606959701,^,0.4149239543726236,-0.13522813688212926,-0.1720888554216867,-0.09934806168773369
legal_basis_correctness,legal_llmlingua2-r1p1,legal_llmlingua2,1.1,10.5026718888105,1.1173517926229286,o,0.6097148288973384,-0.014828897338403042,-0.04697380184176917,0.017249359256066053
legal_basis_correctness,legal_llmlingua2-r1p25,legal_llmlingua2,1.25,21.600538432221605,1.275518964037111,s,0.593745247148289,-0.030798479087452483,-0.0647081070070614,0.0022539018080831386
legal_basis_correctness,legal_llmlingua2-r2p0,legal_llmlingua2,2.0,51.18917297135119,2.0487257866232516,^,0.5674714828897338,-0.057072243346007606,-0.09445527859504825,-0.01979183491608968
legal_basis_correctness,xprovence_six_probe_atoms-r1p1,xprovence_six_probe_atoms,1.1,16.34595892021634,1.195399513391429,o,0.6108365019011407,-0.013707224334600759,-0.0486441169721011,0.02170483998196979
legal_basis_correctness,xprovence_six_probe_atoms-r1p25,xprovence_six_probe_atoms,1.25,26.081527071626077,1.3528418004102811,s,0.5687642585551331,-0.05577946768060837,-0.09271379543915105,-0.01809493026570297
legal_basis_correctness,xprovence_six_probe_atoms-r2p0,xprovence_six_probe_atoms,2.0,54.24866811005424,2.1857287180305205,^,0.5201330798479087,-0.1044106463878327,-0.14666197725813154,-0.06204651493598863
legal_basis_correctness,multi_probe_bge-r1p1,multi_probe_bge,1.1,17.59148887861759,1.2134668936404696,o,0.562148288973384,-0.06239543726235741,-0.09973386550869918,-0.02536650309366333
legal_basis_correctness,multi_probe_bge-r1p25,multi_probe_bge,1.25,26.79673372742679,1.3660592633619495,s,0.5803231939163498,-0.04422053231939164,-0.08043429187634796,-0.008501954703475199
legal_basis_correctness,multi_probe_bge-r2p0,multi_probe_bge,2.0,54.7011457902547,2.2075613554588904,^,0.5315779467680609,-0.09296577946768061,-0.13053455825788507,-0.054949592098042795
legal_basis_correctness,german_legal_selector_v2-r1p1,german_legal_selector_v2,1.1,17.798266313117793,1.216519354456852,o,0.6012927756653992,-0.023250950570342207,-0.0598157200496586,0.013301407989521924
legal_basis_correctness,german_legal_selector_v2-r1p25,german_legal_selector_v2,1.25,27.053786459727057,1.3708730741012474,s,0.5963688212927757,-0.02817490494296578,-0.06600124045801527,0.009139271790587577
legal_basis_correctness,german_legal_selector_v2-r2p0,german_legal_selector_v2,2.0,54.96468565775496,2.220479671576218,^,0.5587832699619772,-0.06576045627376426,-0.1055068442318793,-0.02589098897795592
legal_basis_correctness,dac_native_tokens-r1p1,dac_native_tokens,1.1,3.9206623365039217,1.0408065087858482,o,0.5757794676806084,-0.04876425855513308,-0.08263200828366501,-0.014800537348806805
legal_basis_correctness,dac_native_tokens-r1p25,dac_native_tokens,1.25,10.987585245010989,1.1234387953102367,s,0.5527186311787072,-0.0718250950570342,-0.10961923114539654,-0.0342583852544133
legal_basis_correctness,dac_native_tokens-r2p0,dac_native_tokens,2.0,39.599905936539606,1.6556265606959701,^,0.40912547528517107,-0.21541825095057035,-0.2556779611861007,-0.17507199024746106
