candidate_id,ci95,clusters,estimand,holm_family,holm_p,losses,mean_difference,metric,p_value,reference,rows,ties,wins
legal_llmlingua2-r1p1,"[-0.039875994501527755, 0.03352459528627544]",360,evaluation_row_mean_with_context_cluster_resampling,raw:outcome_correctness,1.0,125,-0.003460076045627373,outcome_correctness,0.8540214597854021,raw,526,285,116
legal_llmlingua2-r1p1,"[-0.03854959382844893, 0.025872730477405473]",360,evaluation_row_mean_with_context_cluster_resampling,raw:legal_reasoning_correctness,1.0,185,-0.005779467680608368,legal_reasoning_correctness,0.7257227427725723,raw,526,156,185
legal_llmlingua2-r1p1,"[-0.04697380184176917, 0.017249359256066053]",360,evaluation_row_mean_with_context_cluster_resampling,raw:legal_basis_correctness,0.7517524824751752,189,-0.014828897338403042,legal_basis_correctness,0.3758762412375876,raw,526,169,168
legal_llmlingua2-r1p1,"[-0.03780680244530244, 0.02177701164457877]",360,evaluation_row_mean_with_context_cluster_resampling,raw:overall_score,1.0,223,-0.008022813688212926,overall_score,0.5976240237597624,raw,526,99,204
legal_llmlingua2-r1p1,"[-0.0027378977759157795, 0.07945914142233497]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:outcome_correctness,1.0,135,0.03781368821292776,outcome_correctness,0.06800931990680094,oracle_bgb_paragraph_ids,526,237,154
legal_llmlingua2-r1p1,"[0.03840083215240427, 0.11084127114389435]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:legal_reasoning_correctness,0.001049989500104999,172,0.07433460076045628,legal_reasoning_correctness,6.999930000699993e-05,oracle_bgb_paragraph_ids,526,129,225
legal_llmlingua2-r1p1,"[0.06930833347571289, 0.1452786233358421]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:legal_basis_correctness,0.00014999850001499987,157,0.10606463878326998,legal_basis_correctness,9.99990000099999e-06,oracle_bgb_paragraph_ids,526,127,242
legal_llmlingua2-r1p1,"[0.03850783815396391, 0.11033565735329712]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:overall_score,0.00044999550004499957,197,0.07273764258555132,overall_score,2.999970000299997e-05,oracle_bgb_paragraph_ids,526,77,252
legal_llmlingua2-r1p1,"[0.05502699323249718, 0.13959895833333327]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:outcome_correctness,0.0005499945000549994,115,0.09747148288973383,outcome_correctness,4.999950000499995e-05,no_context,526,216,195
legal_llmlingua2-r1p1,"[0.18373159118089583, 0.25579968884913806]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:legal_reasoning_correctness,0.00014999850001499987,102,0.21918250950570345,legal_reasoning_correctness,9.99990000099999e-06,no_context,526,119,305
legal_llmlingua2-r1p1,"[0.28123943599191725, 0.35723570418035777]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:legal_basis_correctness,0.00014999850001499987,75,0.31904942965779465,legal_basis_correctness,9.99990000099999e-06,no_context,526,103,348
legal_llmlingua2-r1p1,"[0.1765907304428938, 0.24629476027830488]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:overall_score,0.00014999850001499987,116,0.21190114068441065,overall_score,9.99990000099999e-06,no_context,526,72,338
legal_llmlingua2-r1p25,"[-0.04097015136562854, 0.022830445854336863]",360,evaluation_row_mean_with_context_cluster_resampling,raw:outcome_correctness,1.0,117,-0.009277566539923952,outcome_correctness,0.5748942510574895,raw,526,293,116
legal_llmlingua2-r1p25,"[-0.048077403846153846, 0.01044814362923529]",360,evaluation_row_mean_with_context_cluster_resampling,raw:legal_reasoning_correctness,1.0,185,-0.01811787072243346,legal_reasoning_correctness,0.22749772502274979,raw,526,165,176
legal_llmlingua2-r1p25,"[-0.0647081070070614, 0.0022539018080831386]",360,evaluation_row_mean_with_context_cluster_resampling,raw:legal_basis_correctness,0.37134628653713464,195,-0.030798479087452483,legal_basis_correctness,0.07426925730742692,raw,526,167,164
legal_llmlingua2-r1p25,"[-0.047266252522626256, 0.008186996675631235]",360,evaluation_row_mean_with_context_cluster_resampling,raw:overall_score,0.872791272087279,215,-0.019397972116603292,overall_score,0.17455825441745582,raw,526,116,195
legal_llmlingua2-r1p25,"[-0.009583392184557445, 0.07492211579623287]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:outcome_correctness,1.0,133,0.03199619771863118,outcome_correctness,0.13295867041329587,oracle_bgb_paragraph_ids,526,234,159
legal_llmlingua2-r1p25,"[0.025537578303378015, 0.09929231298207805]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:legal_reasoning_correctness,0.012239877601223987,174,0.06199619771863118,legal_reasoning_correctness,0.001019989800101999,oracle_bgb_paragraph_ids,526,125,227
legal_llmlingua2-r1p25,"[0.051704622016989936, 0.12914372496662216]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:legal_basis_correctness,0.0003599964000359997,160,0.09009505703422054,legal_basis_correctness,2.999970000299997e-05,oracle_bgb_paragraph_ids,526,124,242
legal_llmlingua2-r1p25,"[0.025798290598290592, 0.09878699179537331]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:overall_score,0.011989880101198988,198,0.06136248415716096,overall_score,0.001089989100108999,oracle_bgb_paragraph_ids,526,71,257
legal_llmlingua2-r1p25,"[0.04942753514164123, 0.13480736967606638]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:outcome_correctness,0.0006299937000629995,117,0.09165399239543726,outcome_correctness,6.999930000699993e-05,no_context,526,215,194
legal_llmlingua2-r1p25,"[0.16975429663724892, 0.24444536855838225]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:legal_reasoning_correctness,0.00014999850001499987,107,0.20684410646387835,legal_reasoning_correctness,9.99990000099999e-06,no_context,526,113,306
legal_llmlingua2-r1p25,"[0.26409126984126985, 0.34115926640926636]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:legal_basis_correctness,0.00014999850001499987,86,0.30307984790874526,legal_basis_correctness,9.99990000099999e-06,no_context,526,101,339
legal_llmlingua2-r1p25,"[0.16470415932091584, 0.2358915321810542]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:overall_score,0.00014999850001499987,126,0.20052598225602025,overall_score,9.99990000099999e-06,no_context,526,63,337
legal_llmlingua2-r2p0,"[-0.059938579261971096, 0.014770704640436907]",360,evaluation_row_mean_with_context_cluster_resampling,raw:outcome_correctness,1.0,141,-0.021920152091254756,outcome_correctness,0.24986750132498675,raw,526,270,115
legal_llmlingua2-r2p0,"[-0.08600509409160967, -0.015361350574712657]",360,evaluation_row_mean_with_context_cluster_resampling,raw:legal_reasoning_correctness,0.05615943840561594,226,-0.05039923954372623,legal_reasoning_correctness,0.004679953200467995,raw,526,126,174
legal_llmlingua2-r2p0,"[-0.09445527859504825, -0.01979183491608968]",360,evaluation_row_mean_with_context_cluster_resampling,raw:legal_basis_correctness,0.023219767802321975,230,-0.057072243346007606,legal_basis_correctness,0.0025799742002579973,raw,526,133,163
legal_llmlingua2-r2p0,"[-0.07694186892639607, -0.010267337702871438]",360,evaluation_row_mean_with_context_cluster_resampling,raw:overall_score,0.11373886261137388,256,-0.04313054499366287,overall_score,0.01033989660103399,raw,526,85,185
legal_llmlingua2-r2p0,"[-0.022792575789081206, 0.06263204887218045]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:outcome_correctness,1.0,146,0.019353612167300385,outcome_correctness,0.3710262897371026,oracle_bgb_paragraph_ids,526,241,139
legal_llmlingua2-r2p0,"[-0.008220525719019761, 0.06852457892675282]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:legal_reasoning_correctness,0.3762262377376226,197,0.0297148288973384,legal_reasoning_correctness,0.12540874591254086,oracle_bgb_paragraph_ids,526,117,212
legal_llmlingua2-r2p0,"[0.0251862743735494, 0.10390946592133618]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:legal_basis_correctness,0.008579914200857991,183,0.0638212927756654,legal_basis_correctness,0.0014299857001429986,oracle_bgb_paragraph_ids,526,123,220
legal_llmlingua2-r2p0,"[0.001102540539091003, 0.07458028305933533]",360,evaluation_row_mean_with_context_cluster_resampling,oracle_bgb_paragraph_ids:overall_score,0.19739802601973983,223,0.037629911280101395,overall_score,0.044409555904440956,oracle_bgb_paragraph_ids,526,72,231
legal_llmlingua2-r2p0,"[0.038199812182109466, 0.1211744744236433]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:outcome_correctness,0.0017499825001749984,121,0.07901140684410647,outcome_correctness,0.0002599974000259997,no_context,526,226,179
legal_llmlingua2-r2p0,"[0.13765965011477183, 0.21372493312778207]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:legal_reasoning_correctness,0.00014999850001499987,115,0.17456273764258554,legal_reasoning_correctness,9.99990000099999e-06,no_context,526,119,292
legal_llmlingua2-r2p0,"[0.23772462406015035, 0.31522867513611613]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:legal_basis_correctness,0.00014999850001499987,86,0.2768060836501901,legal_basis_correctness,9.99990000099999e-06,no_context,526,117,323
legal_llmlingua2-r2p0,"[0.14158833181677105, 0.21320880149812732]",360,evaluation_row_mean_with_context_cluster_resampling,no_context:overall_score,0.00014999850001499987,138,0.1767934093789607,overall_score,9.99990000099999e-06,no_context,526,76,312
xprovence_six_probe_atoms-r1p1,"[-0.038450311231444725, 0.028344632279942432]",360,evaluation_row_mean_with_context_cluster_resampling,raw:outcome_correctness,1.0,116,-0.004752851711026617,outcome_correctness,0.7803421965780343,raw,526,294,116
xprovence_six_probe_atoms-r1p1,"[-0.03415423733014077, 0.03202896605878767]",360,evaluation_row_mean_with_context_cluster_resampling,raw:legal_reasoning_correctness,1.0,191,-0.0005893536121673047,legal_reasoning_correctness,0.9733002669973301,raw,526,145,190
